clubs;prix_cotisation_adultes
Issy Gym Vitalité;315
Issy les Moulineaux Badminton Club 92;259
Issy les Moulineaux Trampoline et Sports Acrobatiques;370
ABIMES;
Avia Club Athlétisme d'Issy les Moulineaux;193
Football Club d'Issy les Moulineaux;300
Free Touch Rugby;100
Entente Pongiste Isséenne;275
Issy Aventure;170
Issy Triathlon;375
Tennis Club d'Issy les Moulineaux;380
ASEPGI;155
Avia Club Boxe d'Issy les Moulineaux;170
Baby Foot Club Issy;80
Biga Muay Thaï Club;260
FFIssy;250
Groupe Isséen de Football Tennis;
Issy Budo Kai Arts Martiaux;330
Issy Escalade;260
Running Nature Détente;80
Académie Diomède;
Arc Club Sportif d'Issy les Moulineaux;170
Billancourt Athletic Club Canoë Kayak Sèvres Issy;305
Le Cercle des mousquetaires d'Issy les Moulineaux;380
ARCOLE;350
Association Sportive Ararat Issy;260
Chemins d'Issy et d'Ailleurs;49
Issy Basket Club;240
Issy Gymnastique Rythmique et Sportive;
Issy les Moulineaux Volley Ball;210
Pétanque Club d'issy les Moulineaux;
